Timestamp,Signal
0.00,1919
0.20,1922
0.40,1925
0.60,1927
0.80,1931
1.00,1929
1.20,1934
1.40,1931
1.60,1932
1.80,1932
2.00,1929
2.20,1930
2.40,1931
2.60,1927
2.80,1933
3.00,1926
3.20,1927
3.40,1927
3.60,1927
3.80,1931
4.00,1931
4.20,1930
4.40,1930
4.60,1931
4.80,1930
5.00,1930
5.20,1927
5.40,1927
5.60,1930
5.80,1926
6.00,1926
6.20,1931
6.40,1927
6.60,1927
6.80,1927
7.00,1928
7.20,1930
7.40,1926
7.60,1931
7.80,1929
8.00,1930
8.20,1927
8.40,1927
8.60,1931
8.80,1931
9.00,1926
9.20,1926
9.40,1931
9.60,1926
9.80,1927
10.00,1927
10.20,1928
10.40,1927
10.60,1929
10.80,1931
11.00,1931
11.20,1926
11.40,1929
11.60,1926
11.80,1925
12.00,1927
12.20,1929
12.40,1926
12.60,1927
12.80,1929
13.00,1929
13.20,1925
13.40,1929
13.60,1927
13.80,1929
14.00,1929
14.20,1930
14.40,1926
14.60,1928
14.80,1930
15.00,1930
15.20,1926
15.40,1929
15.60,1927
15.80,1927
16.00,1926
16.20,1930
16.40,1926
16.60,1927
16.80,1931
17.00,1927
17.20,1927
17.40,1928
17.60,1925
17.80,1927
18.00,1927
18.20,1927
18.40,1928
18.60,1927
18.80,1929
19.00,1926
19.20,1926
19.40,1925
19.60,1927
19.80,1929
20.00,1930
20.20,1925
20.40,1927
20.60,1925
20.80,1930
21.00,1925
21.20,1927
21.40,1925
21.60,1927
21.80,1931
22.00,1926
22.20,1927
22.40,1926
22.60,1923
22.80,1927
23.00,1927
23.20,1927
23.40,1924
23.60,1929
23.80,1930
24.00,1926
24.20,1927
24.40,1931
24.60,1927
24.80,1926
25.00,1926
25.20,1927
25.40,1929
25.60,1927
25.80,1930
26.00,1925
26.20,1929
26.40,1931
26.60,1925
26.80,1927
27.00,1927
27.20,1926
27.40,1926
27.60,1930
27.80,1929
28.00,1924
28.20,1929
28.40,1927
28.60,1926
28.80,1929
29.00,1926
29.20,1930
29.40,1925
29.60,1930
29.80,1931
30.00,1925
30.20,1927
30.40,1927
30.60,1927
30.80,1931
31.00,1930
31.20,1926
31.40,1927
31.60,1926
31.80,1927
32.00,1927
32.20,1927
32.40,1929
32.60,1927
32.80,1927
33.00,1927
33.20,1927
33.40,1927
33.60,1929
33.80,1931
34.00,1927
34.20,1931
34.40,1926
34.60,1931
34.80,1930
35.00,1929
35.20,1927
35.40,1931
35.60,1927
35.80,1929
36.00,1929
36.20,1931
36.40,1928
36.60,1929
36.80,1931
37.00,1925
37.20,1930
37.40,1927
37.60,1929
37.80,1929
38.00,1929
38.20,1925
38.40,1929
38.60,1929
38.80,1928
39.00,1926
39.20,1928
39.40,1927
39.60,1929
39.80,1931
40.00,1927
40.20,1926
40.40,1927
40.60,1927
40.80,1929
41.00,1929
41.20,1924
41.40,1929
41.60,1930
41.80,1930
42.00,1926
42.20,1929
42.40,1930
42.60,1926
42.80,1927
43.00,1926
43.20,1929
43.40,1931
43.60,1927
43.80,1930
44.00,1930
44.20,1926
44.40,1929
44.60,1927
44.80,1927
45.00,1926
45.20,1926
45.40,1926
45.60,1930
45.80,1930
46.00,1929
46.20,1929
46.40,1930
46.60,1927
46.80,1929
47.00,1927
47.20,1930
47.40,1927
47.60,1927
47.80,1930
48.00,1925
48.20,1929
48.40,1927
48.60,1927
48.80,1929
49.00,1930
49.20,1929
49.40,1929
49.60,1928
49.80,1929
50.00,1927
50.20,1931
50.40,1926
50.60,1931
50.80,1931
51.00,1930
51.20,1928
51.40,1930
51.60,1926
51.80,1927
52.00,1931
52.20,1927
52.40,1929
52.60,1928
52.80,1929
53.00,1926
53.20,1930
53.40,1929
53.60,1928
53.80,1930
54.00,1927
54.20,1929
54.40,1928
54.60,1927
54.80,1926
55.00,1930
55.20,1930
55.40,1924
55.60,1931
55.80,1930
56.00,1928
56.20,1927
56.40,1929
56.60,1927
56.80,1930
57.00,1927
57.20,1927
57.40,1929
57.60,1926
57.80,1927
58.00,1927
58.20,1930
58.40,1924
58.60,1927
58.80,1930
59.00,1927
59.20,1930
59.40,1930
59.60,1930
59.80,1930
60.00,1929
60.20,1927
60.40,1930
60.60,1927
60.80,1927
61.00,1927
61.20,1929
61.40,1926
61.60,1927
61.80,1931
62.00,1929
62.20,1930
62.40,1929
62.60,1926
62.80,1929
63.00,1931
63.20,1926
63.40,1931
63.60,1929
63.80,1929
64.00,1925
64.20,1926
64.40,1923
64.60,1929
64.80,1931
65.00,1927
65.20,1929
65.40,1929
65.60,1930
65.80,1929
66.00,1930
66.20,1929
66.40,1929
66.60,1930
66.80,1930
67.00,1929
67.20,1930
67.40,1930
67.60,1925
67.80,1932
68.00,1931
68.20,1926
68.40,1930
68.60,1927
68.80,1927
69.00,1931
69.20,1930
69.40,1929
69.60,1930
69.80,1930
70.00,1926
70.20,1930
70.40,1927
70.60,1929
70.80,1932
71.00,1929
71.20,1929
71.40,1931
71.60,1927
71.80,1930
72.00,1929
72.20,1925
72.40,1927
72.60,1927
72.80,1930
73.00,1929
73.20,1931
73.40,1929
73.60,1931
73.80,1930
74.00,1929
74.20,1927
74.40,1927
74.60,1925
74.80,1929
75.00,1930
75.20,1927
75.40,1929
75.60,1926
75.80,1929
76.00,1927
76.20,1925
76.40,1927
76.60,1927
76.80,1927
77.00,1927
77.20,1926
77.40,1929
77.60,1927
77.80,1930
78.00,1929
78.20,1925
78.40,1927
78.60,1925
78.80,1931
79.00,1927
79.20,1929
79.40,1925
79.60,1930
79.80,1929
80.00,1927
80.20,1927
80.40,1927
80.60,1925
80.80,1927
81.00,1929
81.20,1928
81.40,1929
81.60,1927
81.80,1930
82.00,1927
82.20,1931
82.40,1924
82.60,1931
82.80,1929
83.00,1929
83.20,1925
83.40,1927
83.60,1925
83.80,1928
84.00,1927
84.20,1926
84.40,1926
84.60,1926
84.80,1931
85.00,1925
85.20,1927
85.40,1927
85.60,1927
85.80,1930
86.00,1929
86.20,1931
86.40,1927
86.60,1927
86.80,1926
87.00,1927
87.20,1925
87.40,1929
87.60,1926
87.80,1927
88.00,1927
88.20,1929
88.40,1926
88.60,1929
88.80,1927
89.00,1924
89.20,1927
89.40,1927
89.60,1930
89.80,1931
90.00,1929
90.20,1927
90.40,1929
90.60,1925
90.80,1926
91.00,1926
91.20,1927
91.40,1926
91.60,1929
91.80,1930
92.00,1925
92.20,1929
92.40,1929
92.60,1929
92.80,1931
93.00,1930
93.20,1927
93.40,1930
93.60,1927
93.80,1926
94.00,1927
94.20,1929
94.40,1926
94.60,1927
94.80,1931
95.00,1930
95.20,1926
95.40,1928
95.60,1927
95.80,1929
96.00,1927
96.20,1929
96.40,1928
96.60,1927
96.80,1927
97.00,1927
97.20,1929
97.40,1925
97.60,1930
97.80,1931
98.00,1927
98.20,1927
98.40,1927
98.60,1926
98.80,1927
99.00,1927
99.20,1927
99.40,1926
99.60,1927
99.80,1930
100.00,1925
100.20,1929
100.40,1926
100.60,1927
100.80,1931
101.00,1927
101.20,1926
101.40,1930
101.60,1925
101.80,1927
102.00,1929
102.20,1927
102.40,1929
102.60,1927
102.80,1929
103.00,1926
103.20,1930
103.40,1926
103.60,1927
103.80,1927
104.00,1931
104.20,1925
104.40,1930
104.60,1927
104.80,1929
105.00,1927
105.20,1929
105.40,1925
105.60,1929
105.80,1929
106.00,1927
106.20,1927
106.40,1926
106.60,1930
106.80,1931
107.00,1930
107.20,1929
107.40,1929
107.60,1929
107.80,1926
108.00,1927
108.20,1927
108.40,1929
108.60,1927
108.80,1931
109.00,1925
109.20,1930
109.40,1925
109.60,1929
109.80,1931
110.00,1930
110.20,1926
110.40,1930
110.60,1925
110.80,1925
111.00,1928
111.20,1929
111.40,1926
111.60,1930
111.80,1930
112.00,1926
112.20,1928
112.40,1929
112.60,1929
112.80,1927
113.00,1930
113.20,1929
113.40,1927
113.60,1929
113.80,1930
114.00,1929
114.20,1931
114.40,1926
114.60,1930
114.80,1929
115.00,1931
115.20,1927
115.40,1929
115.60,1925
115.80,1929
116.00,1929
116.20,1927
116.40,1927
116.60,1927
116.80,1930
117.00,1925
117.20,1926
117.40,1927
117.60,1927
117.80,1929
118.00,1930
118.20,1927
118.40,1930
118.60,1925
118.80,1929
119.00,1927
119.20,1930
119.40,1923
119.60,1926
119.80,1931
120.00,1927
120.20,1925
120.40,1930
120.60,1925
120.80,1927
121.00,1930
121.20,1929
121.40,1927
121.60,1927
121.80,1930
122.00,1926
122.20,1929
122.40,1927
122.60,1927
122.80,1927
123.00,1931
123.20,1926
123.40,1925
123.60,1928
123.80,1931
124.00,1927
124.20,1927
124.40,1926
124.60,1931
124.80,1931
125.00,1929
